numer_komentarza,nastepnik_komentarza
248,374
41,705
4,778
23,904
82,82
164,164
820,820
902,902
849,849
104,446
66,624
193,193
709,709
791,791
112,459
242,627
30,377
2,558
4,609
47,137
22,433
53,53
931,931
270,569
224,780
10,233
680,680
294,432
27,116
10,333
275,275
71,913
236,903
71,238
11,781
651,651
1,33
83,269
19,510
15,645
290,897
63,463
66,163
304,619
13,663
124,966
14,773
12,891
347,347
85,950
9,446
292,381
229,640
12,46
21,953
20,889
17,628
555,555
20,228
29,828
82,305
526,526
35,306
1,571
10,602
540,540
777,777
275,690
569,569
137,701
64,810
18,600
9,661
155,402
96,394
10,702
318,318
806,806
246,477
182,801
85,458
10,931
11,758
333,333
863,863
10,41
60,101
96,96
53,482
77,291
39,39
125,125
304,304
598,598
210,935
8,113
19,533
271,848
97,97
245,605
324,686
6,683
25,809
584,584
117,840
63,340
76,135
835,835
30,984
14,60
58,265
68,68
111,111
612,612
694,694
22,81
34,233
9,861
195,988
72,462
208,208
238,917
4,140
11,895
20,780
67,67
583,583
155,823
78,255
8,989
9,907
723,723
999,999
190,647
60,479
27,829
68,277
191,417
133,461
73,804
79,797
88,235
304,871
184,906
11,283
178,178
554,554
112,980
66,157
665,665
111,578
246,746
53,167
10,273
86,445
2,212
11,314
39,683
10,748
12,378
5,902
221,221
666,666
19,89
79,259
192,192
304,413
77,723
30,154
236,236
41,121
14,882
250,250
96,465
187,675
60,133
207,207
637,637
119,585
181,785
81,862
11,28
61,174
42,263
623,623
247,387
181,393
179,763
14,796
194,194
171,596
159,859
80,990
74,751
53,983
6,45
44,889
98,946
14,890
150,150
179,179
652,652
695,695
165,165
681,681
317,437
297,831
9,821
136,136
222,222
290,811
41,634
29,814
48,276
2,721
147,736
53,834
20,760
375,375
416,416
11,798
30,191
13,408
515,515
556,556
5,679
110,425
75,918
25,846
5,625
20,852
334,334
85,821
68,915
128,913
5,38
4,638
323,559
9,701
6,912
4,369
235,235
317,317
708,708
790,790
77,136
10,316
98,379
190,567
288,817
26,415
38,530
31,673
81,81
124,124
597,597
233,602
233,656
104,724
457,457
19,258
26,407
30,417
71,286
930,930
973,973
184,866
11,188
87,815
115,334
293,351
19,470
150,774
53,680
14,979
139,139
640,640
14,744
848,848
207,608
160,654
190,702
10,204
10,745
332,332
11,595
291,291
807,807
40,40
83,83
65,382
11,54
35,257
227,798
49,612
541,541
103,342
198,806
276,276
513,513
283,877
170,543
53,837
315,512
19,135
93,831
971,971
291,895
498,498
10,888
319,319
749,749
792,792
25,25
9,724
19,527
13,488
11,360
10,190
19,221
21,349
18,560
9,458
207,476
256,816
11,492
401,401
442,442
805,805
221,470
82,649
58,800
24,779
83,404
39,912
958,958
83,427
59,123
431,431
472,472
114,636
304,971
8,179
32,978
261,733
13,574
500,500
181,725
159,893
85,446
41,130
20,955
14,962
945,945
171,868
6,105
42,254
21,332
27,27
19,252
28,283
9,999
14,830
289,289
55,55
253,549
32,351
30,466
80,615
95,639
13,557
876,876
46,454
30,520
360,360
279,348
315,973
73,509
4,480
176,699
19,158
10,370
388,388
429,429
11,171
80,772
33,418
833,833
9,137
5,736
16,824
9,850
874,874
54,151
271,439
279,975
20,531
14,461
9,372
988,988
319,336
19,118
50,507
53,256
818,818
904,904
92,827
13,746
459,459
41,711
98,176
10,777
932,932
100,696
14,641
487,487
174,539
93,628
47,750
11,712
917,917
960,960
11,108
19,275
58,603
38,272
8,814
8,900
373,373
444,444
65,757
10,691
846,846
889,889
163,529
109,570
47,303
10,840
304,642
284,938
2,375
5,665
208,397
100,808
70,262
9,695
25,629
41,41
123,123
12,58
18,964
890,890
183,908
17,616
779,779
12,12
25,437
750,750
832,832
291,712
17,831
78,421
234,234
345,345
972,972
181,611
291,758
861,861
191,637
37,706
77,188
10,997
94,94
14,132
639,639
18,626
19,690
16,498
10,705
528,528
200,568
2,109
13,176
97,478
263,263
374,374
81,536
68,234
403,403
668,668
29,900
269,448
256,552
25,145
32,494
152,152
5,147
57,175
22,153
58,929
292,292
470,470
73,300
306,306
514,514
320,326
9,303
166,495
227,892
30,512
85,999
22,874
10,559
20,485
18,357
2,209
485,485
234,726
9,395
277,277
707,707
224,531
69,659
44,955
20,654
248,248
456,456
499,499
63,228
177,540
721,721
18,128
19,192
25,268
38,318
111,844
190,888
71,203
986,986
77,895
49,669
19,384
13,729
5,662
75,812
85,907
92,618
653,653
735,735
16,100
80,120
58,514
64,209
13,952
289,867
83,527
88,776
278,278
624,624
9,103
13,666
167,167
287,693
87,921
13,551
21,518
14,538
12,487
108,108
682,682
764,764
169,433
254,922
40,876
14,561
10,336
793,793
258,589
18,205
79,906
94,709
5,530
137,137
582,582
765,765
4,274
13,720
117,362
65,826
11,486
109,109
320,320
155,591
235,936
283,951
30,672
2,847
166,166
693,693
736,736
118,380
234,563
12,848
50,324
19,799
6,755
11,678
138,138
220,220
310,898
10,121
73,409
722,722
9,750
611,611
654,654
249,249
35,380
73,561
75,689
4,31
12,496
596,596
751,751
73,538
54,910
625,625
190,467
151,151
75,497
258,887
47,701
61,738
51,145
5,287
38,693
98,150
610,610
696,696
6,202
180,180
292,613
280,876
40,292
274,339
47,501
41,748
31,155
667,667
201,987
50,301
638,638
211,498
68,563
44,646
4,752
11,898
122,122
176,430
66,529
183,925
4,552
288,422
13,477
445,445
527,527
25,59
19,481
10,711
62,934
91,230
486,486
321,688
116,744
98,774
71,942
237,378
22,677
34,585
264,264
168,472
46,766
238,419
9,950
2,644
153,153
626,626
195,496
310,652
737,737
153,709
73,260
118,933
96,892
85,103
83,221
679,679
862,862
944,944
10,270
346,346
85,395
53,416
19,899
819,819
94,526
35,933
9,501
95,95
568,568
19,404
206,206
1000,1000
50,653
303,303
763,763
11,291
54,54
60,940
68,148
41,316
25,474
262,262
985,985
97,607
32,849
136,519
14,223
21,547
133,347
69,69
110,110
361,361
23,795
33,578
54,595
11,11
484,484
291,360
11,652
778,778
2,764
19,335
348,348
512,512
240,934
58,271
8,568
305,305
821,821
18,71
44,159
570,570
25,317
70,537
38,902
79,184
72,522
33,633
75,320
19,427
10,296
29,330
19,35
231,471
187,641
95,132
35,581
21,658
290,290
987,987
211,398
4,397
331,331
288,657
63,546
26,26
501,501
11,394
834,834
188,914
542,542
53,597
85,724
87,852
50,307
847,847
65,588
73,223
12,988
172,932
34,333
13,946
916,916
12,195
93,616
443,443
46,216
389,389
471,471
151,580
286,600
288,728
57,813
53,213
10,319
59,401
37,569
238,923
20,222
52,349
83,510
918,918
959,959
41,385
106,778
804,804
184,391
114,553
26,896
13,13
75,311
8,763
417,417
203,992
10,130
37,294
974,974
193,963
10,436
359,359
458,458
141,740
178,885
83,470
112,825
20,159
82,285
272,354
120,772
11,151
41,691
888,888
35,801
2,810
402,402
415,415
15,219
875,875
29,582
13,789
10,585
903,903
13,640
860,860
946,946
85,661
6,39
11,457
387,387
430,430
473,473
49,231
11,606
328,328
312,655
296,982
26,290
246,246
984,984
18,607
357,357
111,633
9,484
135,350
75,770
135,135
386,386
84,855
59,905
24,24
34,119
111,418
74,660
57,754
67,926
300,509
158,924
184,953
9,215
19,986
12,929
497,497
579,579
82,289
19,548
468,468
815,815
9,261
79,443
4,916
11,389
106,106
762,762
926,926
6,415
690,690
873,873
955,955
17,428
13,901
622,622
704,704
12,937
217,217
550,550
733,733
270,753
11,727
9,599
9,845
188,188
439,439
801,801
844,844
95,883
77,77
511,511
593,593
191,672
100,820
197,748
13,157
62,568
72,640
22,709
116,447
5,903
564,564
719,719
4,816
323,491
15,875
227,727
10,10
748,748
324,847
12,216
20,160
71,960
93,325
279,409
6,438
228,760
25,280
41,214
321,394
322,458
201,890
14,842
309,671
141,841
10,302
142,768
10,294
4,455
128,854
187,639
112,912
940,940
4,802
454,454
536,536
26,811
33,1000
565,565
37,993
91,91
969,969
153,526
75,226
38,38
60,431
160,546
31,442
93,125
483,483
14,513
8,941
594,594
4,564
14,490
970,970
264,468
13,163
30,315
12,193
92,836
49,49
453,453
291,678
290,697
10,411
607,607
41,783
425,425
496,496
149,149
898,898
941,941
103,506
74,331
26,897
66,945
636,636
912,912
998,998
125,392
75,587
41,775
9,9
482,482
525,525
81,677
53,806
120,120
76,350
63,63
467,467
162,926
24,554
10,156
53,752
42,922
29,113
130,630
294,745
9,115
11,243
107,107
608,608
78,78
157,508
11,910
92,92
983,983
185,473
141,981
4,172
5,236
52,264
121,121
164,846
954,954
4,309
21,805
47,599
194,441
150,789
31,402
10,634
156,965
93,434
59,622
75,117
282,510
23,43
176,379
5,173
277,524
159,579
293,861
77,758
609,609
691,691
773,773
109,791
47,450
77,781
31,823
539,539
152,488
186,718
97,994
61,375
90,596
36,671
75,323
650,650
163,624
51,967
245,345
148,915
79,391
592,592
201,830
25,40
16,55
9,954
11,541
19,911
122,606
53,500
35,35
551,551
732,732
913,913
399,399
242,399
270,959
10,362
134,134
216,216
872,872
37,432
9,985
92,647
5,648
10,918
76,548
2,61
58,440
23,23
118,335
274,274
82,790
195,929
51,629
13,807
260,538
48,952
212,855
10,700
915,915
260,561
12,685
356,356
267,629
295,955
77,389
88,219
177,177
218,218
60,534
55,620
11,956
5,525
119,119
734,734
73,962
397,397
200,989
61,126
4,833
11,813
956,956
235,645
27,386
19,588
440,440
303,879
100,399
175,175
648,648
192,765
128,960
92,467
63,495
95,708
24,843
16,627
251,799
68,850
14,940
857,857
85,115
455,455
32,861
100,242
255,904
92,567
13,784
233,233
706,706
160,340
75,761
26,138
10,119
72,746
8,62
17,93
69,222
20,546
1,111
21,184
66,410
54,590
51,183
14,327
184,332
103,907
14,187
788,788
343,343
384,384
149,487
207,852
92,702
40,164
18,913
261,261
302,302
829,829
31,565
247,353
219,703
185,722
26,742
37,753
9,341
294,997
71,419
201,773
13,566
10,706
91,225
257,460
197,705
46,698
19,605
5,743
203,203
676,676
117,918
414,414
163,945
22,102
19,651
231,231
747,747
9,450
371,371
2,791
887,887
255,583
75,982
63,166
324,558
39,755
82,924
52,141
8,406
1,503
760,760
18,97
18,286
315,315
745,745
10,511
77,678
35,899
23,421
816,816
859,859
35,335
79,540
48,551
9,733
204,436
219,875
38,648
259,259
300,300
775,775
28,573
42,779
11,77
358,358
66,676
5,30
9,725
22,526
803,803
46,878
10,385
330,330
244,244
831,831
73,979
4,793
272,272
717,717
72,566
47,985
13,48
61,109
22,471
278,946
11,704
369,369
205,205
287,287
181,849
68,372
60,451
14,708
200,998
71,894
6,549
943,943
180,739
71,917
14,447
176,176
67,162
14,639
15,703
204,333
66,152
316,316
297,428
31,591
13,452
143,643
287,648
32,632
49,169
6,741
271,514
87,621
179,406
2,539
12,250
41,732
96,798
218,484
51,435
234,372
252,588
312,881
2,301
53,609
96,652
634,634
116,327
131,766
313,968
678,678
149,544
4,198
75,475
38,287
11,670
257,961
14,101
47,341
35,118
165,715
92,710
63,160
133,133
40,822
16,398
162,162
282,427
65,970
929,929
184,443
92,610
9,879
355,355
885,885
302,411
29,179
427,427
692,692
13,529
20,340
383,383
900,900
14,201
19,668
20,646
219,219
649,649
914,914
2,570
11,601
190,190
398,398
441,441
928,928
4,106
53,778
13,337
412,412
871,871
957,957
296,770
9,181
12,963
4,996
147,147
620,620
663,663
130,931
25,123
54,550
899,899
30,973
10,783
80,143
2,507
79,79
606,606
10,497
495,495
5,110
9,218
553,553
635,635
229,412
241,681
76,668
524,524
100,356
25,183
15,88
14,95
155,328
664,664
316,691
25,292
61,570
96,108
191,191
212,483
80,80
170,658
268,822
58,884
14,479
14,722
20,815
40,613
4,673
5,737
92,888
552,552
8,240
49,684
37,959
22,22
20,463
997,997
117,700
28,951
66,66
968,968
31,339
6,896
581,581
205,357
537,537
567,567
23,255
37,37
98,789
5,502
111,367
167,752
68,524
78,768
8,8
21,52
11,839
51,51
481,481
168,616
13,246
15,872
25,967
6,343
93,93
566,566
63,329
36,36
179,575
60,388
65,65
538,538
305,649
21,21
46,131
52,170
64,64
996,996
72,666
7,7
523,523
292,860
21,264
48,557
82,867
53,932
509,509
595,595
44,893
51,114
50,50
982,982
22,669
10,689
63,146
73,882
580,580
703,703
77,712
71,731
19,765
322,395
65,251
761,761
802,802
843,843
884,884
16,696
26,714
510,510
311,777
115,818
19,788
105,105
621,621
662,662
46,935
20,921
295,889
9,244
9,785
117,812
97,361
13,412
12,751
52,52
21,141
901,901
228,485
157,574
95,187
4,584
25,435
83,651
13,469
21,390
245,245
288,288
236,990
25,51
428,428
14,284
83,605
48,729
85,733
81,139
58,237
5,637
177,518
65,589
163,163
85,215
385,385
73,513
90,868
148,148
927,927
138,528
263,779
38,737
30,939
12,210
426,426
2,307
5,425
578,578
103,944
30,555
71,762
19,396
17,434
411,411
276,729
886,886
139,927
22,139
370,370
96,492
189,189
97,456
71,854
60,185
4,155
19,382
9,524
677,677
942,942
219,872
22,231
75,326
63,687
73,284
469,469
72,477
720,720
79,866
204,204
247,247
136,723
6,383
281,941
92,667
80,736
776,776
817,817
858,858
314,949
18,86
372,372
253,741
123,905
9,32
161,161
52,771
53,480
80,189
202,202
239,607
259,797
54,782
47,879
93,428
70,449
2,653
1,844
290,714
29,763
97,928
10,311
70,426
12,439
11,590
759,759
18,203
413,413
18,180
77,360
40,381
232,232
705,705
787,787
205,626
229,930
70,363
62,989
342,342
19,499
260,260
718,718
112,683
65,400
12,800
314,314
127,910
14,473
9,556
258,384
308,573
33,367
65,887
98,337
66,358
96,898
10,812
84,483
37,129
80,298
264,368
295,646
77,486
12,70
18,478
230,230
789,789
830,830
26,253
85,261
19,350
400,400
19,373
8,998
6,870
329,329
82,873
19,757
286,286
845,845
10,577
88,645
73,842
746,746
322,661
2,324
25,114
273,273
140,837
39,383
11,57
14,347
15,423
243,486
77,243
731,731
249,862
5,857
302,706
774,774
304,983
94,206
10,491
344,344
13,930
258,258
301,301
410,410
492,492
165,750
19,909
106,482
26,528
521,521
109,505
41,352
53,552
71,614
381,381
463,463
310,719
98,469
63,593
10,993
352,352
714,714
201,490
68,376
47,851
19,786
603,603
145,967
47,728
661,661
743,743
252,400
16,356
632,632
5,5
316,489
61,734
270,270
291,516
26,697
159,159
772,772
103,950
98,784
48,48
13,72
94,865
1,578
8,681
299,299
289,396
22,249
8,535
24,623
13,464
6,407
34,34
